FID	IID	SOL	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	Group
1362	NA11992	0	-0.0201423	0.0141211	-0.0044052	0.0085078	0.00197465	-0.0146499	-0.0197626	0.0333951	-0.011993	-0.0142506	1
1362	NA11993	0	-0.0143003	0.0126934	-0.0269075	0.00139019	0.00897698	0.0112373	0.00356631	-0.00361027	0.00144534	0.00991755	1
1362	NA11995	0	-0.0127285	0.0199067	-0.0122609	-0.0140672	-0.00179889	0.026641	-0.0104585	-0.0120934	-0.0196087	0.0178747	1
1362	NA11994	0	-0.013944	0.0165509	-0.00453487	0.00438681	0.00166832	0.0190796	-0.011116	0.00877058	-0.0064439	0.00708279	1
1375	NA12234	0	-0.0175218	0.0249899	0.0190001	0.0192655	0.0021363	-0.000421203	-0.0105299	0.00037477	0.00630583	0.010587	1
1375	NA12264	0	-0.0150652	0.0217609	-0.00588249	0.00104327	0.00780288	-0.0151378	-0.00423328	0.024934	-0.0330626	-0.0124734	1
1377	NA11891	0	-0.0146796	0.0162381	-0.00273171	0.021193	0.0129206	-0.000919753	0.0254713	0.0188685	0.0159971	0.0135461	1
1377	NA11892	0	-0.0212026	0.0105622	0.0132421	-0.00395841	-0.0185775	0.0201335	-0.0185687	0.00407998	-0.0312417	-0.0156629	1
1377	NA11894	0	-0.00964089	0.0143566	0.031037	0.0128652	0.00223184	0.0204273	0.00509703	-0.00979218	-0.0196051	0.00022866	1
1377	NA11893	0	-0.0142307	0.0325117	-0.00471805	0.0291451	-0.0228788	-0.0115825	-0.0261639	-0.0110854	0.0199578	-0.00137174	1
1408	NA12154	0	-0.0132185	0.0220581	0.00900094	0.0326665	0.00874893	-0.00111711	0.0201351	0.00613185	0.00213765	0.011923	1
1408	NA12156	0	-0.0103116	0.0203053	0.022226	-0.00202513	0.0156199	0.0164119	-0.0208185	-0.0131909	0.0275553	0.0187452	1
1408	NA12155	0	-0.00932859	0.0146097	-0.0152566	-0.00311647	-0.0149898	-0.0148474	0.00103238	0.0373479	-0.018214	-0.013358	1
1416	NA12248	0	-0.00770971	0.0223935	-0.0023553	-0.00791855	0.000379276	0.00807652	0.00897466	0.0117336	0.0211593	0.0125681	1
1416	NA12249	0	-0.00913588	0.0150253	0.00431173	-0.013028	0.00859454	0.00300036	-0.011902	0.0153035	0.0303109	-0.0329758	1
1418	NA12275	0	-0.012206	0.0201375	-0.014864	-0.0303054	-0.0060228	0.00586487	0.00305732	-0.00383151	0.0119478	-0.00910769	1
1418	NA12272	0	-0.0232684	0.0251601	0.0120766	-0.0208711	-0.0123972	-0.00566867	-0.00197267	-0.00984353	0.000667735	-0.0142453	1
1418	NA12273	0	-0.0169957	0.00483734	0.0304287	0.01152	0.00157468	-0.0115244	0.00697527	0.00379158	0.00435924	-0.0157001	1
1420	NA12003	0	-0.0110752	0.0201122	-0.00594216	-0.00709495	0.00684675	-0.00885192	-0.014715	-0.00269713	0.0262934	-0.00680719	1
1420	NA12006	0	-0.0147991	0.0071578	-0.00080992	0.000291762	0.00483913	0.00194824	0.0239588	-0.0141586	0.0198669	-0.0185095	1
1420	NA12005	0	-0.0213804	0.0212226	0.00516231	-0.00425047	0.0110885	0.00473799	-0.00154448	-0.0288024	0.00655651	-0.0255211	1
1421	NA12287	0	-0.0198572	0.00721581	0.000713932	0.0180522	-6.93E-05	-0.0118656	-0.00932093	-0.0189223	-0.0101801	-0.0218594	1
1421	NA12282	0	-0.0107897	0.000976459	0.0175253	-0.0148819	0.0254091	-0.00130497	0.0143582	0.000213836	-9.47E-05	0.0220311	1
1421	NA12283	0	-0.0194582	0.0203158	0.0063441	-0.000267255	-0.0120736	-0.00720733	-0.0162613	0.0282257	0.00442669	-0.000176449	1
1421	NA12286	0	-0.0115608	0.0179309	-0.000258918	-0.0295686	-0.00903918	-0.00744321	0.00302345	-0.00208196	-0.00537901	-0.0163933	1
1423	NA11917	0	-0.00742462	0.00874001	-0.0419162	-0.0223391	-0.00888759	0.011452	-0.0152342	-0.0222024	0.00569228	0.0177456	1
1423	NA11920	0	-0.0170569	0.0189769	0.00338886	0.00518011	0.0131617	-0.0373671	-0.00780136	0.0104339	-0.00601403	0.0240345	1
1423	NA11918	0	-0.0230881	0.0162769	-0.00333606	0.00348004	0.00913052	0.000620977	-0.0242217	0.00998206	0.00613965	0.00919238	1
1423	NA11919	0	-0.0181091	0.0188121	-0.0215331	0.023798	-0.0174438	-0.0101512	0.0123979	0.0292933	0.00181408	-0.00470393	1
1424	NA11930	0	-0.0109669	0.0180397	0.0190957	0.0103658	-0.0233547	0.0131511	-0.000967996	0.000184291	0.0116887	0.000615871	1
1424	NA11931	0	-0.0126155	0.0263296	0.00441242	-0.011166	-0.00885088	0.0135538	-0.00786363	-0.00986421	-0.0121223	-0.0374767	1
1444	NA12749	0	-0.0136327	0.0215975	0.0098513	0.015441	-0.00172155	-0.0114826	0.0106476	-0.0175381	0.0090727	-0.0254185	1
1444	NA12748	0	-0.0147444	0.0163244	0.000331749	-0.0332416	-0.015258	-0.0291514	0.0233702	0.00334912	0.0231112	-0.010466	1
1444	NA12750	0	-0.0151403	0.0110945	0.000404068	-0.0122364	-0.0113072	-0.0022299	-0.00466675	-0.021422	-0.00584836	0.00463705	1
1444	NA12751	0	-0.0185166	0.0254334	0.00201726	0.00804114	0.00244434	0.00254866	-0.0200976	-0.0149637	-0.00465072	-0.0215723	1
1447	NA12762	0	-0.0127154	0.018665	0.00473335	-0.0142377	0.0201527	-0.0135218	0.00300512	0.0275928	-0.0155423	-0.0181787	1
1447	NA12760	0	-0.0155449	0.0156349	-0.025456	-0.0347886	-0.0323023	0.0193945	0.00498911	-0.0260177	-0.00257492	0.00900964	1
1447	NA12763	0	-0.0125461	0.0203474	-0.0184547	-0.0304098	-0.00670156	-0.00163159	-0.0191255	-0.0089522	0.00134199	-0.00614314	1
1447	NA12761	0	-0.0114619	0.0229185	0.00594201	-0.00193539	0.0277488	-0.0130257	-0.0151376	-0.000430947	0.0202162	0.010088	1
1451	NA12777	0	-0.0222177	0.0236457	-0.0133646	0.00314513	0.0172176	-0.0151101	0.00772846	-0.00638401	0.0137165	0.0134752	1
1451	NA12776	0	-0.0114269	0.0254218	0.00670612	0.0165369	0.00220571	0.0113771	0.00694173	-0.00645684	-0.0102881	0.00120123	1
1451	NA12778	0	-0.0124764	0.0243136	-0.00530604	-0.00454171	0.0102232	0.000969854	0.00358886	-0.0286571	-0.0194916	-0.00944853	1
1451	NA12775	0	-0.00651309	0.0148858	-0.00390362	0.00376653	0.00671262	0.0132138	0.0151067	0.0072538	0.0228532	0.00194618	1
1454	NA12813	0	-0.0107153	0.0133506	0.0138231	0.013934	-0.0124114	0.0033378	0.0196097	0.00435746	0.00107951	0.00566602	1
1454	NA12814	0	-0.00987689	0.0197866	-0.0140601	-0.00327652	0.0126039	-0.00685953	-0.0115263	-0.0347372	0.00161356	-0.00915129	1
1454	NA12812	0	-0.0199602	0.00902906	0.00795455	-0.0327916	0.00474246	-0.0155098	-0.0051254	0.00640257	0.0135343	-0.0299567	1
1454	NA12815	0	-0.01797	0.020708	-0.00331934	-0.00821624	0.000360324	-0.00205311	-0.0306747	0.00557725	-0.00416039	-0.00750038	1
1456	NA12828	0	-0.0270773	0.0127104	-0.0130651	-0.000154684	-0.0272053	-0.0166005	-0.0286253	-0.00287431	0.00153576	-0.00310456	1
1456	NA12827	0	-0.0128899	0.0255746	0.0206998	0.00766967	0.0107979	-0.000912055	0.0179832	0.0132609	-0.0208547	-0.0123037	1
1456	NA12829	0	-0.0155406	0.0161546	-0.00623862	0.00581747	-0.0135462	0.00545303	0.0103286	-0.0133551	-0.000668487	-0.00104	1
1456	NA12830	0	-0.0190378	0.0156282	-0.00530924	-0.0182596	-0.0268847	0.0327257	-0.0233269	8.44E-05	-0.0111524	-0.00411936	1
1458	NA12843	0	-0.0134112	0.012061	-0.00404637	-0.012917	-0.00311687	-0.00872241	0.00903862	-0.0318379	0.0161846	0.00338616	1
1458	NA12842	0	-0.0106246	0.0136277	-0.0152098	-0.00498262	0.00994279	-0.00245724	0.0052915	-0.00476076	-0.0164551	0.0106984	1
1459	NA12875	0	-0.0143289	0.0141185	-0.0115782	-0.0113399	0.0188113	0.026134	0.0101767	-0.00265096	-0.00177718	0.0245543	1
1459	NA12874	0	-0.0143884	0.017924	-0.00430628	-0.00805068	0.0117956	0.00531473	0.0124232	-0.0365632	0.0276464	-0.028351	1
1459	NA12872	0	-0.0139045	0.00611125	-0.00846581	0.00777182	0.00616031	-0.000697315	0.00688903	0.0214709	0.00541707	0.00283553	1
1459	NA12873	0	-0.013811	0.0174959	-0.0248434	0.00302045	-0.0297888	-0.00941292	-0.0130747	-0.0197248	-0.0112467	0.0218051	1
1463	NA12890	0	-0.0161098	0.0127784	0.00982783	-0.00305793	0.0151358	-0.0158709	0.0202061	0.0141221	0.00921491	0.00474801	1
1463	NA12889	0	-0.0203912	0.0102	-0.0299121	0.0165235	0.0248275	-0.0156287	0.0178136	-0.00402971	-0.000787755	-0.0074055	1
1463	NA12891	0	-0.0153341	0.0168039	-0.00393941	-0.00875812	0.00445469	0.00665752	-0.0129506	0.00870226	-0.0226691	0.019049	1
1463	NA12892	0	-0.0142214	0.00587919	0.0171438	-0.00168825	-0.0248717	-0.00138559	-0.00366451	0.00785857	0.00184918	0.0249063	1
13281	NA12348	0	-0.0169959	0.0242263	0.0187678	-0.00875205	-0.00157812	0.0110926	0.0108658	-0.00112209	-0.0208372	-0.0109661	1
13281	NA12347	0	-0.0155353	0.0181642	-0.0119849	-0.00257128	-0.00345616	0.00925425	0.0180419	-0.0133254	0.0102987	0.0264461	1
13291	NA06986	0	-0.0180398	0.014765	0.00776479	-0.0175754	-0.00530113	0.0206711	0.022376	0.0131861	0.0107452	-0.0144541	1
13291	NA07435	0	-0.0183891	0.016581	0.013045	0.0117273	-0.0329336	0.00916849	0.00803064	-0.0117698	-0.001895	0.0307632	1
13291	NA07037	0	-0.0189725	0.0152095	0.0123079	-0.0110279	0.00154135	-0.00614641	0.0186832	-0.0203133	0.00461988	-0.0111107	1
13291	NA25001	0	-0.0157734	0.0267157	-0.00902404	-0.00877245	0.0201972	-0.00350193	0.000572394	0.00154397	0.00694044	0.00243621	1
13292	NA07051	0	-0.0230847	0.0352143	-0.00631725	0.0116819	-0.0132928	0.00765625	0.0136194	0.000598502	0.00339758	0.00825917	1
13292	NA07031	0	-0.0129251	0.0272305	-0.0146223	0.0139067	-0.011287	-0.00370703	0.00443525	-0.000562031	0.00245675	-0.0029254	1
M001	NA19649	0	0.0332292	-0.00173455	0.0333889	0.0190381	0.0200504	-0.0135221	0.0296643	-0.035721	0.00473882	0.0179179	2
M002	NA19669	0	0.0495836	-0.00276398	-0.00612328	0.0205718	0.0180279	-0.0225524	0.00687381	0.00600437	0.0414502	0.0016349	2
M002	NA19670	0	0.0752517	-0.00567385	0.00178991	-0.0137857	-0.00316284	-0.00056403	-0.024192	0.0148237	0.0238395	0.0238585	2
M004	NA19676	0	0.0389952	-0.0135204	-0.00367504	0.0173342	-0.0242779	0.00226072	-0.00581489	-0.0249296	-0.00502487	0.0246627	2
M005	NA19651	0	0.0291359	-0.000105441	0.0170883	0.0143369	-0.0474196	0.0287633	-0.020664	-0.00307008	-0.0121949	0.00153205	2
M005	NA19652	0	0.033297	0.000312329	-0.0357595	0.0164202	0.0149342	0.0528325	0.0039544	-0.0329839	-0.0123342	-0.0205326	2
M006	NA19654	0	0.0881844	0.00635141	0.00386885	0.0483077	0.00505569	-0.021798	0.0265121	0.00591384	-0.022007	-0.000950345	2
M007	NA19657	0	0.0885897	-0.00646521	0.0107941	0.000578446	0.0149408	0.00992416	0.00795525	-0.0159156	-0.00505699	-0.00154057	2
M007	NA19658	0	0.0501321	0.00110342	-0.00376664	0.0257325	-0.00144683	-0.00309277	0.00438314	-0.0154141	-0.0194178	0.0156197	2
M008	NA19660	0	0.0671361	-0.00869615	-7.49E-05	-0.0140774	-0.0347509	-0.000809575	0.0103156	0.00195191	-0.00222978	0.00651242	2
M009	NA19678	0	0.021731	0.00821134	0.00350408	0.0139213	-0.0141328	-0.00724501	-0.0202513	0.0176026	-0.00319796	-0.0242155	2
M009	NA19679	0	-0.00359589	-0.00620368	0.0412462	-0.00962256	0.0126349	0.0590647	0.0255763	0.0289677	0.00932649	0.0111479	2
M010	NA19682	0	0.0643395	-0.0119894	-0.00737697	0.0066181	-0.0101506	0.0119416	-0.0307595	0.00169519	-0.00604588	0.0149317	2
M010	NA19681	0	0.0937793	-0.00017872	0.0309959	-0.0163931	0.0227426	0.0194568	0.00440541	0.0146605	-0.00728957	-0.0111542	2
